"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C32","C0603","1680mil","590mil","1680mil","590mil","1680mil","562.441mil","T","90.00","0.1uF"
"U7","ASDMB_-_osc","1762.48mil","545.512mil","1730mil","515mil","1730mil","515mil","T","0.00","OSC-50Mhz-DNP"
"R13","R0603","1760mil","625mil","1760mil","625mil","1732.441mil","625mil","T","0.00","0"
"PB4","FSM4JSMA","3082mil","161mil","3082mil","161mil","2912mil","72mil","T","90.00","FSM4JSMA"
"PB3","FSM4JSMA","2633.667mil","161mil","2633.667mil","161mil","2463.667mil","72mil","T","90.00","FSM4JSMA"
"PB2","FSM4JSMA","2185.333mil","161mil","2185.333mil","161mil","2015.333mil","72mil","T","90.00","FSM4JSMA"
"PB1","FSM4JSMA","1737mil","161mil","1737mil","161mil","1567mil","72mil","T","90.00","FSM4JSMA"
"PB6","FSM4JSMA","600mil","1635mil","600mil","1635mil","770mil","1546mil","T","90.00","FSM4JSMA"
"PB5","FSM4JSMA","605mil","1380mil","605mil","1380mil","775mil","1291mil","T","90.00","FSM4JSMA"
"U4","FT230x-QFN65P400X400X80-16L","450mil","730mil","450mil","730mil","488.386mil","801.85mil","T","270.00","FT230XQ"
"R16","R0603","2015mil","160mil","2015mil","160mil","2015mil","187.559mil","T","270.00","10k"
"R15","R0603","1565mil","160mil","1565mil","160mil","1565mil","187.559mil","T","270.00","10k"
"R10","R0603","290mil","640mil","290mil","640mil","290mil","667.559mil","T","270.00","33"
"R9","R0603","290mil","745mil","290mil","745mil","290mil","717.441mil","T","90.00","33"
"J10","10103594-0001LF_-_Simple","145mil","660mil","145mil","660mil","204.291mil","711.181mil","T","0.00","USB Micro B"
"D5","SOD-123","441.181mil","880mil","390mil","880mil","378.189mil","880mil","T","90.00","RB161M-20TR"
"C62","C0603","656mil","723mil","656mil","723mil","656mil","695.441mil","T","90.00","0.1uF"
"C61","C0603","595mil","723mil","595mil","723mil","595mil","695.441mil","T","90.00","0.1uF"
"J8","PMOD_Header","3003mil","2458mil","2753mil","2408mil","2753mil","2408mil","T","360.00","SSQ-106-02-G-D-RA-005"
"J13","PMOD_Header","2103mil","2458mil","1853mil","2408mil","1853mil","2408mil","T","360.00","SSQ-106-02-G-D-RA-005"
"J12","PMOD_Header","303mil","2458mil","53mil","2408mil","53mil","2408mil","T","360.00","SSQ-106-02-G-D-RA-005"
"J9","PMOD_Header","1203mil","2458mil","953mil","2408mil","953mil","2408mil","T","360.00","SSQ-106-02-G-D-RA-005"
"R58","R0603","440mil","1805mil","440mil","1805mil","467.559mil","1805mil","T","180.00","200"
"R57","R0603","1485mil","485mil","1485mil","485mil","1485mil","457.441mil","T","90.00","200"
"R46","R0603","1525mil","600mil","1525mil","600mil","1525mil","572.441mil","T","90.00","200"
"R45","R0603","1480mil","600mil","1480mil","600mil","1480mil","572.441mil","T","90.00","200"
"R44","R0603","1085mil","610mil","1085mil","610mil","1085mil","582.441mil","T","90.00","200"
"R43","R0603","1040mil","610mil","1040mil","610mil","1040mil","582.441mil","T","90.00","200"
"R18","R0603","1040mil","505mil","1040mil","505mil","1040mil","477.441mil","T","90.00","200"
"R17","R0603","1530mil","485mil","1530mil","485mil","1530mil","457.441mil","T","90.00","200"
"DC7","LED_0603_-_GREEN","1349.711mil","397.289mil","1349.711mil","397.289mil","1370.59mil","376.41mil","T","135.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC6","LED_0603_-_GREEN","1385mil","467mil","1385mil","467mil","1414.528mil","467mil","T","180.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC5","LED_0603_-_GREEN","1349.711mil","538.711mil","1349.711mil","538.711mil","1370.59mil","559.59mil","T","225.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC4","LED_0603_-_GREEN","1279mil","574mil","1279mil","574mil","1279mil","603.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC3","LED_0603_-_GREEN","1208.289mil","538.711mil","1208.289mil","538.711mil","1187.41mil","559.59mil","T","315.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC2","LED_0603_-_GREEN","1179mil","468mil","1179mil","468mil","1149.472mil","468mil","T","0.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC1","LED_0603_-_GREEN","1208.289mil","397.289mil","1208.289mil","397.289mil","1187.41mil","376.41mil","T","45.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC0","LED_0603_-_GREEN","1279mil","368mil","1279mil","368mil","1279mil","338.472mil","T","90.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"U5","TSSOP20","1650mil","2060mil","1650mil","2060mil","1534.842mil","1943.858mil","T","90.00","TXB0108PWR"
"U6","TSSOP20","2865mil","2080mil","2865mil","2080mil","2749.843mil","1963.858mil","T","90.00","TXB0108PWR"
"P1","ARDUINO_SHIELD","2020mil","1320mil","1545mil","370mil","1745mil","370mil","T","90.00","Arduino Uno Header"
"J6","1776275-2","163mil","2156mil","163mil","2156mil","163mil","2224.898mil","T","270.00","1776275-2"
"U3","SOT223","820mil","2170mil","820mil","2170mil","729.449mil","2057.795mil","T","90.00","#NAME?"
"C36","C0603","610mil","1975mil","610mil","1975mil","582.441mil","1975mil","T","360.00","4.7uF"
"D3","SOD-123","360mil","2205mil","360mil","2205mil","360mil","2142.008mil","T","180.00","RB161M-20TR"
"D2","SOD-123","1975mil","520mil","1975mil","520mil","2037.992mil","520mil","T","270.00","RB161M-20TR"
"U9","SOIC127P830X200-8L","795mil","1040mil","795mil","1040mil","870mil","1185.669mil","T","270.00","M25PE16"
"C16","C0603","2510mil","700mil","2510mil","700mil","2529.487mil","680.513mil","T","135.00","4.7uF"
"C15","C0603","1675mil","1150mil","1675mil","1150mil","1655.513mil","1130.513mil","T","45.00","4.7uF"
"U1","TQ144_L","2244.999mil","1320.001mil","2245mil","1320mil","1703.533mil","1265.715mil","T","45.00","XC6SLX9-3TQG144C"
"C26","C0603","2055mil","770mil","2055mil","770mil","2035.513mil","750.513mil","T","45.00","0.47uF"
"C25","C0603","1845mil","965mil","1845mil","965mil","1825.513mil","945.513mil","T","45.00","0.47uF"
"C24","C0603","2440mil","770mil","2440mil","770mil","2459.487mil","750.513mil","T","135.00","0.47uF"
"C23","C0603","2729.999mil","1065.001mil","2730mil","1065mil","2749.486mil","1045.514mil","T","135.00","0.47uF"
"C22","C0603","1964.999mil","1775mil","1965mil","1775mil","1945.513mil","1794.487mil","T","315.00","0.47uF"
"C21","C0603","2690mil","1625mil","2690mil","1625mil","2709.487mil","1644.487mil","T","225.00","0.47uF"
"C20","C0603","2820.001mil","1490mil","2820mil","1490mil","2839.488mil","1509.487mil","T","225.00","0.47uF"
"C18","C0603","1755mil","1570mil","1755mil","1570mil","1735.513mil","1589.487mil","T","315.00","4.7uF"
"C17","C0603","2445mil","1865mil","2445mil","1865mil","2464.487mil","1884.487mil","T","225.00","4.7uF"
"C14","C0603","1830mil","1650mil","1830mil","1650mil","1810.513mil","1669.487mil","T","315.00","0.47uF"
"C13","C0603","2615mil","1699.999mil","2615mil","1700mil","2634.488mil","1719.486mil","T","225.00","0.47uF"
"C12","C0603","1860mil","1680mil","1860mil","1680mil","1840.513mil","1699.488mil","T","315.00","0.47uF"
"C11","C0603","1880mil","930mil","1880mil","930mil","1860.513mil","910.513mil","T","45.00","0.47uF"
"C10","C0603","1762mil","1718mil","1762mil","1718mil","1742.512mil","1737.487mil","T","315.00","4.7uF"
"C9","C0603","2680mil","865mil","2680mil","865mil","2699.487mil","845.512mil","T","135.00","4.7uF"
