"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R36","R0603","1733.533mil","630mil","1733.533mil","630mil","1761.092mil","630mil","T","180.00","0"
"T1","SMT_TEST","1359mil","1875.717mil","1359mil","1875.717mil","1359mil","1875.717mil","T","0.00","PC TEST POINT COMPACT SMT"
"R35","R0603","2576mil","536mil","2576mil","536mil","2576mil","563.559mil","T","270.00","10k"
"R34","R0603","2476mil","536mil","2476mil","536mil","2476mil","563.559mil","T","270.00","10k"
"R32","R0603","2376mil","536mil","2376mil","536mil","2376mil","563.559mil","T","270.00","10k"
"C29","C0603","2421mil","536mil","2421mil","536mil","2421mil","563.559mil","T","270.00","0.1uF"
"C32","C0603","2521mil","536mil","2521mil","536mil","2521mil","563.559mil","T","270.00","0.1uF"
"C37","C0603","2621mil","536mil","2621mil","536mil","2621mil","563.559mil","T","270.00","0.1uF"
"U10","ASDMB_-_osc","2775.48mil","729.512mil","2743mil","699mil","2743mil","699mil","T","360.00","ASDMB-50.000MHZ-LC-T"
"R24","R0603","1290mil","814mil","1290mil","814mil","1317.559mil","814mil","T","180.00","200"
"DC2","LED_0603_-_GREEN","1184mil","814mil","1184mil","814mil","1213.528mil","814mil","T","180.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"D1","SOD-123","155mil","1961mil","155mil","1961mil","217.992mil","1961mil","T","270.00","RB161M-20TR"
"R27","R0603","1426mil","581mil","1426mil","581mil","1426mil","553.441mil","T","90.00","200"
"R26","R0603","1371.714mil","581mil","1371.714mil","581mil","1371.714mil","553.441mil","T","90.00","200"
"R25","R0603","1317.428mil","581mil","1317.428mil","581mil","1317.428mil","553.441mil","T","90.00","200"
"R23","R0603","1263.143mil","581mil","1263.143mil","581mil","1263.143mil","553.441mil","T","90.00","200"
"R22","R0603","1208.857mil","581mil","1208.857mil","581mil","1208.857mil","553.441mil","T","90.00","200"
"R21","R0603","1154.571mil","581mil","1154.571mil","581mil","1154.571mil","553.441mil","T","90.00","200"
"R20","R0603","1100.286mil","581mil","1100.286mil","581mil","1100.286mil","553.441mil","T","90.00","200"
"R19","R0603","1046mil","581mil","1046mil","581mil","1046mil","553.441mil","T","90.00","200"
"DC17","LED_0603_-_GREEN","1426mil","121mil","1426mil","121mil","1426mil","150.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC13","LED_0603_-_GREEN","1371.714mil","121mil","1371.714mil","121mil","1371.714mil","150.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC12","LED_0603_-_GREEN","1317.428mil","121mil","1317.428mil","121mil","1317.428mil","150.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC9","LED_0603_-_GREEN","1263.143mil","121mil","1263.143mil","121mil","1263.143mil","150.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC8","LED_0603_-_GREEN","1208.857mil","121mil","1208.857mil","121mil","1208.857mil","150.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
